,city,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,krasnozerskoye,0.0,RU,69.0,53.98,79.24,46.34,7.96
1,kutum,76.0,SD,38.0,14.2,24.66,75.14,4.27
2,rikitea,64.0,PF,100.0,-23.12,-134.97,71.68,10.2
3,ushuaia,40.0,AR,65.0,-54.81,-68.31,44.6,2.71
5,port alfred,76.0,ZA,92.0,-33.59,26.89,69.52,10.65
6,albany,40.0,US,86.0,42.65,-73.75,33.8,3.83
7,cidreira,88.0,BR,94.0,-30.17,-50.22,65.96,7.18
8,mataura,44.0,NZ,70.0,-46.19,168.86,53.68,6.06
9,tabou,48.0,CI,100.0,4.42,-7.36,79.42,3.38
10,kupang,20.0,ID,66.0,-10.16,123.6,89.68,6.17
11,victoria,75.0,BN,83.0,5.28,115.24,84.2,3.36
12,arraial do cabo,80.0,BR,99.0,-22.97,-42.02,70.96,17.69
13,uruzgan,0.0,AF,29.0,32.93,66.63,57.37,2.71
14,punta arenas,90.0,CL,87.0,-53.16,-70.91,44.6,14.99
15,longyearbyen,75.0,NO,74.0,78.22,15.63,28.4,11.41
17,kabanjahe,36.0,ID,88.0,3.1,98.49,75.46,2.04
20,atuona,24.0,PF,100.0,-9.8,-139.03,79.73,15.46
22,upernavik,0.0,GL,100.0,72.79,-56.15,17.18,8.97
23,semey,0.0,KZ,48.0,50.41,80.25,50.48,9.86
24,hilo,90.0,US,94.0,19.71,-155.08,75.2,5.82
25,altea,0.0,ES,87.0,38.6,-0.05,55.4,5.82
26,kavaratti,0.0,IN,100.0,10.57,72.64,84.68,5.61
28,vaini,0.0,IN,67.0,15.34,74.49,84.68,8.52
29,upington,0.0,ZA,17.0,-28.46,21.24,71.6,2.93
31,cabo san lucas,5.0,MX,73.0,22.89,-109.91,75.2,3.36
32,esperance,20.0,TT,88.0,10.24,-61.45,78.8,5.95
33,qasigiannguit,0.0,GL,55.0,68.82,-51.19,10.4,2.24
34,cape town,0.0,ZA,82.0,-33.93,18.42,64.4,13.87
35,jingcheng,8.0,CN,62.0,24.58,117.5,84.2,6.71
36,vestmannaeyjar,0.0,IS,100.0,63.44,-20.27,35.86,17.69
37,vilyuysk,80.0,RU,82.0,63.75,121.63,24.79,4.05
38,batamshinskiy,0.0,KZ,49.0,50.56,58.27,55.4,24.61
39,indri,8.0,IN,71.0,29.88,77.05,77.71,6.73
40,bluff,0.0,AU,22.0,-23.58,149.07,97.73,7.74
41,krasnyy yar,64.0,RU,100.0,50.7,44.73,40.54,11.43
42,saint-philippe,1.0,CA,82.0,45.36,-73.48,32.0,9.17
43,padang,32.0,ID,100.0,-0.92,100.36,82.34,5.17
44,belyy yar,0.0,RU,80.0,53.6,91.39,41.0,2.24
45,ketchikan,90.0,US,71.0,55.34,-131.65,53.6,9.17
46,qaanaaq,68.0,GL,100.0,77.48,-69.36,11.02,11.77
47,guerrero negro,0.0,MX,100.0,27.97,-114.04,63.44,5.73
48,saskylakh,76.0,RU,85.0,71.97,114.09,15.34,7.63
49,thompson,90.0,CA,79.0,55.74,-97.86,28.4,5.82
50,busselton,0.0,AU,75.0,-33.64,115.35,72.4,12.77
51,mahebourg,40.0,MU,65.0,-20.41,57.7,77.0,9.17
52,necochea,12.0,AR,99.0,-38.55,-58.74,45.53,5.28
53,marica,90.0,BR,94.0,-22.92,-42.82,71.6,2.24
54,eyl,56.0,SO,94.0,7.98,49.82,79.78,4.05
55,manicore,0.0,BR,80.0,-5.81,-61.3,78.11,1.36
56,tuktoyaktuk,90.0,CA,92.0,69.44,-133.03,19.4,8.05
57,spas-demensk,88.0,RU,93.0,54.41,34.03,33.34,5.39
58,hobart,0.0,AU,54.0,-42.88,147.33,60.8,18.34
59,jamestown,0.0,AU,24.0,-33.21,138.6,81.4,6.96
60,kodiak,90.0,US,100.0,39.95,-94.76,46.4,5.82
61,geraldton,90.0,CA,92.0,49.72,-86.95,30.2,9.17
62,bulungu,88.0,CD,91.0,-4.54,18.6,72.53,4.38
63,tuatapere,92.0,NZ,100.0,-46.13,167.69,48.1,4.61
64,hithadhoo,36.0,MV,100.0,-0.6,73.08,82.43,8.86
65,luderitz,12.0,NA,38.0,-26.65,15.16,77.0,1.12
66,kijang,90.0,KR,82.0,35.24,129.21,66.2,6.93
68,butaritari,8.0,KI,100.0,3.07,172.79,86.03,5.17
69,awbari,0.0,LY,83.0,26.59,12.77,54.44,7.18
70,abalak,0.0,NE,62.0,15.46,6.28,71.5,2.48
71,mahajanga,0.0,MG,51.0,-15.72,46.32,80.6,9.17
72,nanakuli,20.0,US,83.0,21.39,-158.15,80.6,17.47
73,faanui,68.0,PF,99.0,-16.48,-151.75,81.4,12.66
74,kapaa,75.0,US,74.0,22.08,-159.32,80.6,16.11
75,clyde river,75.0,CA,100.0,70.47,-68.59,15.8,16.11
76,atar,88.0,MR,31.0,20.52,-13.05,81.89,6.96
77,richards bay,0.0,ZA,66.0,-28.77,32.06,74.24,5.95
80,castro,92.0,CL,98.0,-42.48,-73.76,45.98,4.16
81,zhangye,0.0,CN,77.0,38.94,100.46,50.44,4.5
82,kruisfontein,36.0,ZA,81.0,-34.0,24.73,65.2,3.71
83,provideniya,75.0,RU,80.0,64.42,-173.23,30.2,26.84
84,zapolyarnyy,90.0,RU,100.0,69.43,30.82,32.0,11.41
85,moron,88.0,VE,97.0,10.49,-68.2,71.54,2.71
86,ternate,40.0,PH,55.0,14.29,120.72,89.6,9.17
87,fairbanks,90.0,US,71.0,64.84,-147.72,39.2,9.17
88,mar del plata,76.0,AR,86.0,-46.43,-67.52,49.31,8.19
89,bose,40.0,IT,87.0,45.46,8.01,57.2,1.12
90,bredasdorp,76.0,ZA,82.0,-34.53,20.04,66.2,1.12
91,cherskiy,0.0,RU,58.0,68.75,161.3,-11.94,2.37
92,east london,40.0,ZA,88.0,-33.02,27.91,66.2,12.75
93,nanortalik,88.0,GL,98.0,60.14,-45.24,33.11,34.25
94,barrow,68.0,AR,97.0,-38.31,-60.23,47.2,6.62
95,dir,76.0,CM,100.0,6.33,13.54,63.49,4.5
96,constantine,0.0,DZ,93.0,36.36,6.61,46.4,3.04
98,svetlogorsk,75.0,RU,43.0,53.14,59.15,51.8,13.42
100,yellowknife,75.0,CA,92.0,62.45,-114.38,30.2,9.17
101,srandakan,48.0,ID,88.0,-7.94,110.25,80.99,7.74
103,airai,12.0,TL,37.0,-8.93,125.41,87.07,1.59
105,amot,75.0,NO,92.0,59.57,7.99,26.6,3.36
106,aswan,0.0,EG,37.0,24.09,32.9,71.6,6.93
107,saint anthony,90.0,US,70.0,43.97,-111.68,44.6,8.05
108,udachnyy,68.0,RU,80.0,66.42,112.4,19.79,3.15
109,auki,0.0,NG,85.0,12.18,6.51,66.59,3.38
110,campbell river,90.0,CA,100.0,50.02,-125.24,51.8,8.05
111,la palma,68.0,CO,97.0,5.36,-74.39,67.9,1.48
112,avarua,90.0,CK,88.0,-21.21,-159.78,71.6,9.17
113,ribeira grande,76.0,PT,99.0,38.52,-28.7,68.39,13.22
114,morondava,0.0,MG,69.0,-20.3,44.28,82.12,3.71
115,port-gentil,24.0,GA,100.0,-0.72,8.78,78.38,5.95
116,champerico,20.0,MX,88.0,16.38,-93.6,73.4,2.04
120,waingapu,24.0,ID,98.0,-9.65,120.26,79.69,3.15
121,ust-nera,88.0,RU,92.0,64.57,143.24,13.76,2.04
122,chisinau,40.0,MD,76.0,47.01,28.86,48.2,12.75
124,saint george,0.0,GR,60.0,39.45,22.34,42.8,5.82
125,codrington,20.0,AU,53.0,-28.95,153.24,80.54,4.94
126,binghamton,90.0,US,74.0,42.1,-75.91,33.8,4.7
127,strezhevoy,0.0,RU,80.0,60.73,77.6,41.0,11.18
128,srednekolymsk,44.0,RU,81.0,67.46,153.71,1.39,4.05
130,sur,0.0,OM,81.0,22.57,59.53,86.71,4.16
131,lebu,40.0,ET,71.0,8.96,38.73,55.4,1.92
132,alpena,90.0,US,87.0,45.06,-83.43,42.8,3.36
133,ashitkovo,88.0,RU,99.0,57.12,28.75,35.63,8.75
