,city,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,mataura,88.0,NZ,1540655251,100.0,-46.19,168.86,42.51,3.2
1,barrow,20.0,AR,1540655251,77.0,-38.31,-60.23,70.59,10.25
2,hilo,90.0,US,1540652160,88.0,19.71,-155.08,73.4,6.93
3,ushuaia,75.0,AR,1540652400,81.0,-54.81,-68.31,50.0,25.28
4,saldanha,44.0,PT,1540655283,58.0,41.42,-6.55,50.39,14.05
5,ponta do sol,56.0,BR,1540655298,100.0,-20.63,-46.0,74.82,7.78
6,ribeira grande,40.0,PT,1540654200,60.0,38.52,-28.7,69.8,24.16
7,hobart,40.0,AU,1540654200,64.0,-42.88,147.33,42.8,8.05
8,lagoa,0.0,PT,1540654200,34.0,37.14,-8.45,68.0,19.46
9,jamestown,92.0,AU,1540655270,68.0,-33.21,138.6,56.55,2.75
10,albany,90.0,US,1540652820,86.0,42.65,-73.75,39.2,8.05
11,gondanglegi,44.0,ID,1540655437,89.0,-7.75,112.01,73.65,6.44
12,cockburn town,0.0,TC,1540655086,98.0,21.46,-71.14,83.01,10.8
13,hermanus,0.0,ZA,1540655250,28.0,-34.42,19.24,93.09,3.42
14,cordoba,8.0,CO,1540655437,57.0,5.59,-73.79,66.32,1.74
15,sao filipe,20.0,CV,1540655265,93.0,14.9,-24.5,80.22,13.27
16,port alfred,56.0,ZA,1540655271,79.0,-33.59,26.89,72.57,14.72
17,tank,0.0,PK,1540655437,71.0,32.22,70.39,62.22,2.53
18,cidreira,88.0,BR,1540655344,95.0,-30.17,-50.22,65.64,26.57
19,sur,56.0,OM,1540655337,88.0,22.57,59.53,83.96,14.5
20,mar del plata,0.0,AR,1540655286,46.0,-46.43,-67.52,65.51,14.05
21,katsuura,32.0,JP,1540655438,95.0,33.93,134.5,55.52,8.46
22,vaini,0.0,IN,1540655281,33.0,15.34,74.49,78.56,6.33
23,sailana,0.0,IN,1540655439,38.0,23.46,74.92,74.64,7.11
24,kizema,88.0,RU,1540655439,79.0,61.11,44.83,33.47,15.39
25,saskylakh,36.0,RU,1540655309,81.0,71.97,114.09,11.87,18.19
26,gorontalo,36.0,ID,1540655439,75.0,0.54,123.06,77.97,0.96
27,weihai,76.0,CN,1540655439,100.0,37.5,122.11,60.6,26.69
28,georgetown,75.0,GY,1540652400,62.0,6.8,-58.16,89.6,13.87
29,ternate,40.0,PH,1540652400,69.0,14.29,120.72,82.4,3.36
30,poum,0.0,MK,1540655327,44.0,41.28,20.71,62.36,2.42
31,bluefields,75.0,NI,1540652400,88.0,12.01,-83.77,82.4,4.7
32,okhotsk,48.0,RU,1540655440,100.0,59.36,143.24,24.69,3.53
33,jiaxing,0.0,CN,1540652400,76.0,30.76,120.75,53.6,1.97
34,hirara,0.0,JP,1540655441,100.0,24.8,125.28,74.55,27.25
35,busselton,0.0,AU,1540655254,100.0,-33.64,115.35,61.46,16.84
36,thompson,90.0,CA,1540654380,92.0,55.74,-97.86,30.2,4.7
37,coquimbo,0.0,CL,1540652400,63.0,-29.95,-71.34,64.4,12.75
38,kodiak,1.0,US,1540651980,87.0,39.95,-94.76,50.0,3.36
39,rikitea,48.0,PF,1540655251,100.0,-23.12,-134.97,72.84,12.82
40,hofn,24.0,IS,1540655253,100.0,64.25,-15.21,35.13,3.76
41,puerto ayora,20.0,EC,1540652400,69.0,-0.74,-90.35,75.2,17.22
42,fort nelson,75.0,CA,1540652400,60.0,58.81,-122.69,42.8,11.41
43,constitucion,5.0,MX,1540651740,76.0,23.99,-104.67,55.4,5.82
44,zaria,24.0,NG,1540655315,58.0,11.11,7.72,88.32,6.67
45,lebu,0.0,ET,1540655295,34.0,8.96,38.73,66.27,10.69
46,campos novos,0.0,BR,1540655443,81.0,-27.4,-51.22,65.96,16.96
47,ariquemes,20.0,BR,1540655443,66.0,-9.91,-63.03,90.39,2.98
48,chimbote,32.0,PE,1540655443,77.0,-9.08,-78.59,65.82,5.66
49,esperance,40.0,TT,1540652400,55.0,10.24,-61.45,87.8,11.41
50,leningradskiy,0.0,RU,1540655297,100.0,69.38,178.42,15.96,3.98
51,cape town,0.0,ZA,1540652400,38.0,-33.93,18.42,89.6,6.93
52,punta arenas,75.0,CL,1540652400,61.0,-53.16,-70.91,50.0,26.4
53,provideniya,0.0,RU,1540655298,100.0,64.42,-173.23,25.37,14.05
54,ulladulla,90.0,AU,1540652400,82.0,-35.36,150.48,60.8,5.82
55,victoria,90.0,BN,1540652400,88.0,5.28,115.24,80.6,3.76
56,guru har sahai,0.0,IN,1540655445,74.0,30.72,74.42,71.58,3.76
57,jingdezhen,0.0,CN,1540655445,76.0,29.29,117.2,46.29,3.2
58,laguna,5.0,MX,1540651560,73.0,27.52,-110.01,71.6,2.3
59,la ronge,90.0,CA,1540654500,97.0,55.1,-105.3,32.0,2.24
60,kapaa,90.0,US,1540652160,83.0,22.08,-159.32,77.0,13.87
61,sechura,8.0,PE,1540655305,86.0,-5.56,-80.82,67.76,10.69
62,sapele,68.0,NG,1540655446,81.0,5.89,5.68,84.86,1.63
63,adrar,0.0,DZ,1540652400,32.0,27.87,-0.29,82.4,5.82
64,kundla,0.0,IN,1540655446,34.0,21.34,71.31,81.71,7.34
